Time,ECG Lead1,ECG Lead2,ECG Lead 3,BP1,Heart Beat,Temp 
508,1.583547558,0.378311258,-0.687778769,-0.530888031,0.001312256,98.5948008
510,1.058269066,-0.475165563,-0.290811775,-0.579150579,0.002655029,98.59823801
512,0.748928877,-0.504139073,0.509366637,-0.579150579,0.002838135,98.59906602
514,0.580976864,-0.40397351,0.991971454,-0.579150579,0.003692627,98.60126008
516,0.457583548,-0.280629139,1.195361285,-0.579150579,0.000823975,98.59969531
518,0.35646958,-0.137417219,1.322033898,-0.627413127,0.000183105,98.59478805
520,0.330762639,-0.066225166,1.384478145,-0.675675676,-0.000244141,98.59171252
522,0.310197087,-0.050496689,1.393398751,-0.579150579,0,98.5917864
524,0.296486718,-0.06705298,1.410347904,-0.675675676,6.10352E-05,98.58702882
526,0.305912596,-0.055463576,1.412132025,-0.579150579,0.003295898,98.58752923
528,0.293916024,-0.052152318,1.404103479,-0.627413127,0.002166748,98.58529107
530,0.272493573,-0.064569536,1.417484389,-0.579150579,0.003295898,98.58725348
532,0.311910883,-0.043874172,1.398751115,-0.482625483,0.002746582,98.59106701
534,0.28706084,-0.045529801,1.403211418,-0.530888031,0.00112915,98.58631382
536,0.269065981,-0.046357616,1.410347904,-0.482625483,0.00112915,98.58472589
538,0.296486718,-0.038907285,1.40499554,-0.530888031,0.003692627,98.58393995
540,0.285347044,-0.049668874,1.407671722,-0.482625483,0.00177002,98.57974006
542,0.263924593,-0.040562914,1.424620874,-0.530888031,0.001983643,98.5755336
544,0.286203942,-0.039735099,1.428189117,-0.482625483,-0.000244141,98.57125736
546,0.299057412,-0.023178808,1.43264942,-0.434362934,0.001983643,98.57526077
548,0.273350471,-0.019039735,1.467439786,-0.482625483,0.002288818,98.57995385
550,0.294772922,-0.025662252,1.470115968,-0.530888031,0.002655029,98.57886692
552,0.3041988,-0.006622517,1.479036574,-0.482625483,0.00112915,98.57700277
554,0.292202228,-0.012417219,1.515611062,-0.386100386,0.002838135,98.57753591
556,0.294772922,-0.00910596,1.54058876,-0.482625483,0.003234863,98.58045639
558,0.294772922,-0.010761589,1.561998216,-0.434362934,0.004180908,98.58343953
560,0.280205656,-0.033112583,1.584299732,-0.434362934,0.00177002,98.58707211
562,0.3041988,-0.043046358,1.611953613,-0.482625483,0.003875732,98.59005174
564,0.300771208,-0.059602649,1.642283675,-0.386100386,0.001708984,98.5851155
566,0.29991431,-0.082781457,1.680642284,-0.434362934,0.001220703,98.58931451
568,0.315338475,-0.117549669,1.705619982,-0.434362934,0.001312256,98.58449414
570,0.302485004,-0.150662252,1.714540589,-0.482625483,0.003692627,98.5797883
572,0.299057412,-0.176324503,1.742194469,-0.386100386,0.003234863,98.58190282
574,0.321336761,-0.183774834,1.732381802,-0.482625483,0.00177002,98.58228696
576,0.344473008,-0.192880795,1.723461195,-0.530888031,0.00112915,98.58253285
578,0.330762639,-0.203642384,1.71632471,-0.482625483,0.003509521,98.58255525
580,0.353898886,-0.195364238,1.698483497,-0.579150579,0.016967773,98.57821197
582,0.365895458,-0.189569536,1.670829616,-0.482625483,-0.02822876,98.57551238
584,0.361610968,-0.166390728,1.6485281,-0.579150579,-0.067016602,98.57168278
586,0.388174807,-0.146523179,1.615521855,-0.530888031,0.170318604,98.57658049
588,0.395886889,-0.119205298,1.59500446,-0.530888031,0.16784668,98.57228566
590,0.378748929,-0.091887417,1.572702944,-0.579150579,-0.180053711,98.56788589
592,0.384747215,-0.074503311,1.552185549,-0.482625483,-0.641235352,98.56950167
594,0.389031705,-0.034768212,1.536128457,-0.579150579,0.165802002,98.56794224
596,0.36503856,-0.006622517,1.524531668,-0.530888031,0.725036621,98.56422738
598,0.372750643,0.024834437,1.523639607,-0.627413127,0.101074219,98.56559873
600,0.383890317,0.058774834,1.512042819,-0.579150579,-0.354248047,98.56806361
602,0.36503856,0.132450331,1.598572703,-0.627413127,-0.72555542,98.57111629
604,0.368466153,0.180463576,1.655664585,-0.627413127,-0.121368408,98.56880656
606,0.395886889,0.232615894,1.690454951,-0.675675676,0.445922852,98.56814636
608,0.374464439,0.251655629,1.636039251,-0.627413127,0.615112305,98.56716442
610,0.355612682,0.253311258,1.512042819,-0.627413127,0.310211182,98.56824585
612,0.373607541,0.283112583,1.460303301,-0.579150579,0.104705811,98.57094672
614,0.372750643,0.302152318,1.413024086,-0.627413127,-0.424438477,98.57535796
616,0.387317909,0.296357616,1.421944692,-0.530888031,-0.609954834,98.57167261
618,0.398457584,0.283112583,1.437109723,-0.482625483,-0.430847168,98.56922983
620,0.411311054,0.244205298,1.413916146,-0.482625483,-0.073120117,98.56801294
622,0.432733505,0.187913907,1.394290812,-0.530888031,0.305053711,98.5729503
624,0.435304199,0.185430464,1.420160571,-0.530888031,0.578369141,98.57135981
626,0.333333333,0.184602649,1.497769848,-0.530888031,0.563049316,98.57535533
628,0.330762639,0.196192053,1.497769848,-0.579150579,0.254516602,98.57273015
630,0.329048843,0.181291391,1.48706512,-0.530888031,-0.188446045,98.56993016
632,0.309340189,0.183774834,1.504014273,-0.530888031,-0.496368408,98.57484092
634,0.316195373,0.196192053,1.51293488,-0.530888031,-0.668121338,98.57935197
636,0.327335047,0.196192053,1.504906334,-0.530888031,-0.191558838,98.58073414
